epoch,train_loss,val_cindex,lr,epoch_sec
1,1.5638261375843654,0.4757198488962975,0.0001,1319.23
2,1.5701427906592942,0.48452614196199373,0.0001,1060.36
3,1.581458722313626,0.49107924540877074,0.0001,1055.3
4,1.566242099443056,0.47461924337309425,0.0001,1055.62
5,1.5449293044428476,0.47671052064418656,0.0001,1055.7
6,1.552309392613217,0.46897440662022283,0.0001,1054.19
7,1.5955007152435499,0.4619036907684244,5e-05,1054.0
8,1.5266520639324086,0.4642233477605566,5e-05,1051.77
9,1.528684038577623,0.4631187578171608,5e-05,1052.38
10,1.5307349523924156,0.4535639370852807,5e-05,1053.45
11,1.5393391989798337,0.4590231360791784,2.5e-05,1054.04
