epoch,train_loss,val_cindex,lr,epoch_sec
1,1.5678836334500703,0.467174137462646,0.0001,1056.29
2,1.5750295689311653,0.44773449243864893,0.0001,1054.88
3,1.5818006343607958,0.4822263877569501,0.0001,1054.29
4,1.5637651535903556,0.4759123426605089,0.0001,1053.53
5,1.5493676209221252,0.4680108666123336,0.0001,1054.13
6,1.554472179204638,0.4542872407860183,0.0001,1054.18
7,1.5975474409909802,0.47448972199583445,5e-05,1054.48
8,1.533320979061472,0.436412931268677,5e-05,1054.0
9,1.532695970596216,0.4599328081137372,5e-05,1054.39
10,1.5384667617952228,0.45390093271755866,5e-05,1055.07
11,1.5528368596324778,0.4553623109662229,2.5e-05,1053.24
