epoch,train_loss,val_cindex,lr,epoch_sec
1,1.5639868301832385,0.47921291010565237,0.0001,1055.57
2,1.5746014416535188,0.48318845734785304,0.0001,1054.35
3,1.5803288317843875,0.4783482906106742,0.0001,1055.32
4,1.5660070792808574,0.4677566112421543,0.0001,1054.52
5,1.5462051890274715,0.4698745124516798,0.0001,1053.59
6,1.5551997570437999,0.4717013697717144,5e-05,1053.65
7,1.5913036353291032,0.47364920862141907,5e-05,1054.88
8,1.528129825957667,0.4621421989371012,5e-05,1054.02
9,1.5304775411963336,0.45347119190713253,5e-05,1053.68
10,1.531755424853458,0.44201253861266787,2.5e-05,1054.75
