epoch,train_loss,val_cindex,lr,epoch_sec
1,0.7117686330383451,0.48522323438569115,0.0001,1369.26
2,0.7058849379150505,0.485766383301947,0.0001,1186.65
3,0.7120275327953668,0.47920042104454835,0.0001,1181.2
4,0.7067023144679836,0.47454661825958355,0.0001,1170.99
5,0.6917022700888661,0.4782568378989355,0.0001,1182.51
6,0.7084283153342997,0.4749410758586516,5e-05,1182.53
7,0.7060781931216978,0.4600076500867698,5e-05,1188.42
8,0.6813055390811449,0.4598873930409566,5e-05,1178.88
9,0.681887803049768,0.44605221836216424,5e-05,1172.57
